Trial (NCT),Condition,Arm,Any AE %,Serious AE %,AE leading to discontinuation %,CT.gov last updated,Trial start date,Trial completion date
NCT03814005,"Myelodysplastic Syndromes; Leukemia, Myelomonocytic, Chronic; Leukemia, Myeloid, Acute; Renal Insufficiency; Liver Disease; Neoplasms; Myelodysplastic Syndromes; Leukemia, Myelomonocytic, Chronic; Leukemia, Myeloid, Acute; Renal Insufficiency; Liver Diseases; Neoplasms",Part B: Renal Arm,100.0,75.0,,2024-09-05,2019-07-10,2022-04-19
NCT02999672,Bladder Cancer; Pancreas Cancer; Cholangiocellular Carcinoma; Urinary Bladder Neoplasms; Pancreatic Neoplasms; Cholangiocarcinoma,Cohort 1 (UBC),,,23.1,2019-08-28,2016-12-23,2018-04-10
NCT02999672,Bladder Cancer; Pancreas Cancer; Cholangiocellular Carcinoma; Urinary Bladder Neoplasms; Pancreatic Neoplasms; Cholangiocarcinoma,Cohort 2 (Pancreatic Cancer/Cholangiocarcinoma),,,0.0,2019-08-28,2016-12-23,2018-04-10
NCT03219372,"Hepatocellular Carcinoma; Liver Cirrhoses; Carcinoma, Hepatocellular",Pravastatin Pill,100.0,0.0,,2021-01-22,2018-09-27,2019-03-05
NCT02868242,"Hepatitis C Virus Infection; Hepatitis C; Hepatitis C, Chronic; Liver Diseases; Virus Diseases",LDV/SOF,78.94736842105263,15.789473684210526,,2020-03-02,2016-08-28,2019-02-03
NCT04521114,Nonalcoholic Steatohepatitis (NASH); Non-alcoholic Fatty Liver Disease,Leronlimab 350 mg,77.77777777777779,3.7037037037037033,,2023-03-01,2020-12-01,2021-12-29
NCT04521114,Nonalcoholic Steatohepatitis (NASH); Non-alcoholic Fatty Liver Disease,Leronlimab 700 mg,93.33333333333333,6.666666666666667,,2023-03-01,2020-12-01,2021-12-29
NCT04521114,Nonalcoholic Steatohepatitis (NASH); Non-alcoholic Fatty Liver Disease,Placebo,70.0,6.666666666666667,,2023-03-01,2020-12-01,2021-12-29
NCT03211416,"Advanced Adult Hepatocellular Carcinoma; Child-Pugh Class A; Stage III Hepatocellular Carcinoma; Stage IIIA Hepatocellular Carcinoma; Stage IIIB Hepatocellular Carcinoma; Stage IIIC Hepatocellular Carcinoma; Stage IV Hepatocellular Carcinoma; Stage IVA Hepatocellular Carcinoma; Stage IVB Hepatocellular Carcinoma; Carcinoma, Hepatocellular","Treatment (Sorafenib Tosylate, Pembrolizumab)",97.2972972972973,54.054054054054056,,2026-02-05,2017-12-07,2025-08-15
NCT00492752,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular","Placebo, All (Double-Blind and Open Label Phase)",86.66666666666667,45.33333333333333,,2014-04-16,2005-10,2009-07
NCT00492752,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular","Placebo, Open Label Only (Participants Switched to Sorafenib)",66.66666666666666,50.0,,2014-04-16,2005-10,2009-07
NCT00492752,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular","Sorafenib, All (Double-Blind and Open Label Phase)",96.64429530201343,51.006711409395976,,2014-04-16,2005-10,2009-07
NCT01639352,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",SOM230,100.0,25.0,,2017-07-12,2012-07,2017-02
NCT02352259,Liver Metastases,Electrochemotherapy,13.043478260869565,0.0,,2021-03-24,2013-09,2018-10
NCT01151761,Cholangiocarcinoma; Hepatobiliary Neoplasm; Liver Cancer; Bile Duct Cancer; Cancer of Gallbladder; Cholangiocarcinoma; Liver Neoplasms; Bile Duct Neoplasms; Gallbladder Neoplasms,"SBRT, Chemotherapy and Liver Transplantation",50.0,50.0,,2016-07-29,2011-01,2012-07
NCT00787787,"Adult Primary Hepatocellular Carcinoma; Advanced Adult Primary Liver Cancer; Localized Unresectable Adult Primary Liver Cancer; Recurrent Adult Primary Liver Cancer; Carcinoma, Hepatocellular",Treatment (Sunitinib Malate and Capecitabine),100.0,28.57142857142857,,2017-06-01,2008-09,2010-06
NCT01178411,"Advanced Solid Tumors; Carcinoma, Hepatocellular; Carcinoma, Renal Cell; Melanoma; Carcinoma, Non-Small-Cell Lung; Breast Neoplasms; Ovarian Neoplasms",Tivantinib (Monotherapy or Combination),91.66666666666666,31.666666666666664,,2021-03-10,2010-08-31,2019-01-14
NCT01464593,Colon Cancer Liver Metastasis; Colonic Neoplasms; Liver Neoplasms,Thermodox,0.0,0.0,,2022-10-13,2011-09,2013-06
NCT00459108,"Adult Primary Hepatocellular Carcinoma; Advanced Adult Primary Liver Cancer; Recurrent Adult Primary Liver Cancer; Carcinoma, Hepatocellular",Oral Dasatinib,100.0,52.0,,2018-04-19,2007-04,2011-04
NCT01871545,"Hepatocellular Carcinoma; HCC; Carcinoma, Hepatocellular; Liver Neoplasms; Liver Diseases",Healthy Participant,12.5,0.0,,2020-07-09,2013-06,2018-02-02
NCT01871545,"Hepatocellular Carcinoma; HCC; Carcinoma, Hepatocellular; Liver Neoplasms; Liver Diseases",SubStudy 1,9.375,0.0,,2020-07-09,2013-06,2018-02-02
NCT01871545,"Hepatocellular Carcinoma; HCC; Carcinoma, Hepatocellular; Liver Neoplasms; Liver Diseases",SubStudy 2,0.0,0.0,,2020-07-09,2013-06,2018-02-02
