Trial (NCT),Condition,Arm,Any AE %,Serious AE %,AE leading to discontinuation %,CT.gov last updated,Trial start date,Trial completion date
NCT01600105,"Chronic Liver Disease; Liver Cirrhosis; Hepatitis, Chronic",Sub Study 1 Chronic Hep C Patients,0.0,0.0,,2020-02-07,2010-10,2017-07-31
NCT01600105,"Chronic Liver Disease; Liver Cirrhosis; Hepatitis, Chronic",Sub Study 1 Health Volunteers,0.0,0.0,,2020-02-07,2010-10,2017-07-31
NCT01600105,"Chronic Liver Disease; Liver Cirrhosis; Hepatitis, Chronic",Sub Study II,3.3333333333333335,0.0,,2020-02-07,2010-10,2017-07-31
NCT01600105,"Chronic Liver Disease; Liver Cirrhosis; Hepatitis, Chronic",Sub Study III,0.0,0.0,,2020-02-07,2010-10,2017-07-31
NCT01600105,"Chronic Liver Disease; Liver Cirrhosis; Hepatitis, Chronic",Total Participants of the Substudies,1.6129032258064515,0.0,,2020-02-07,2010-10,2017-07-31
NCT03758742,"Diabetes Mellitus, Type 2; Diabetes Mellitus, Type 2; Fatty Liver",High-Fruit Diet,52.94117647058824,0.0,,2025-06-10,2019-09-10,2023-09-05
NCT03422679,"Breast Cancer; Colorectal Cancer; Adenoid Cystic Carcinoma; Non-hodgkin Lymphoma; Glomus Tumor, Malignant; Hepatocellular Carcinoma; Osteosarcoma; T-ALL; Breast Neoplasms; Colorectal Neoplasms; Carcinoma, Adenoid Cystic; Lymphoma, Non-Hodgkin; Glomus Tumor; Carcinoma, Hepatocellular; Osteosarcoma; Precursor T-Cell Lymphoblastic Leukemia-Lymphoma",Cohort 1,60.0,0.0,,2024-01-16,2017-12-05,2022-11-11
NCT03422679,"Breast Cancer; Colorectal Cancer; Adenoid Cystic Carcinoma; Non-hodgkin Lymphoma; Glomus Tumor, Malignant; Hepatocellular Carcinoma; Osteosarcoma; T-ALL; Breast Neoplasms; Colorectal Neoplasms; Carcinoma, Adenoid Cystic; Lymphoma, Non-Hodgkin; Glomus Tumor; Carcinoma, Hepatocellular; Osteosarcoma; Precursor T-Cell Lymphoblastic Leukemia-Lymphoma",Cohort 10,100.0,0.0,,2024-01-16,2017-12-05,2022-11-11
NCT03422679,"Breast Cancer; Colorectal Cancer; Adenoid Cystic Carcinoma; Non-hodgkin Lymphoma; Glomus Tumor, Malignant; Hepatocellular Carcinoma; Osteosarcoma; T-ALL; Breast Neoplasms; Colorectal Neoplasms; Carcinoma, Adenoid Cystic; Lymphoma, Non-Hodgkin; Glomus Tumor; Carcinoma, Hepatocellular; Osteosarcoma; Precursor T-Cell Lymphoblastic Leukemia-Lymphoma",Cohort 11,100.0,0.0,,2024-01-16,2017-12-05,2022-11-11
NCT03422679,"Breast Cancer; Colorectal Cancer; Adenoid Cystic Carcinoma; Non-hodgkin Lymphoma; Glomus Tumor, Malignant; Hepatocellular Carcinoma; Osteosarcoma; T-ALL; Breast Neoplasms; Colorectal Neoplasms; Carcinoma, Adenoid Cystic; Lymphoma, Non-Hodgkin; Glomus Tumor; Carcinoma, Hepatocellular; Osteosarcoma; Precursor T-Cell Lymphoblastic Leukemia-Lymphoma",Cohort 12,87.5,0.0,,2024-01-16,2017-12-05,2022-11-11
