Trial (NCT),Condition,Arm,Interventions,OS median,OS 95% CI low,OS 95% CI high,OS N,PFS median,PFS 95% CI low,PFS 95% CI high,PFS N,ORR %,CT.gov last updated
NCT03590574,"Lymphoma, T-Cell",Phase I Dose Escalation With Modified Manufacturing Process - Cohort 3,AUTO4,,,,1.0,,,,1.0,,2026-03-16
NCT03590574,"Lymphoma, T-Cell",Phase I Dose Escalation With Modified Manufacturing Process - Cohort 4,AUTO4,,,,3.0,,,,3.0,,2026-03-16
NCT03590574,"Lymphoma, T-Cell",Phase I Dose Escalation With Modified Manufacturing Process - Cohort 5,AUTO4,,,,1.0,,,,1.0,,2026-03-16
NCT03590574,"Lymphoma, T-Cell",Total,AUTO4,,,,,,,,,,2026-03-16
NCT01668784,Neoplasm Metastasis,Everolimus,"Nivolumab, Everolimus",19.55,17.64,23.06,411.0,4.5,3.71,5.52,411.0,6.1,2022-08-09
NCT01668784,Neoplasm Metastasis,Nivolumab,"Nivolumab, Everolimus",25.0,21.75,,410.0,4.21,3.68,5.36,410.0,25.9,2022-08-09
NCT01500733,Leukemia,Elderly Cohort,PCI 32765,,,,,,,,,93.9,2024-09-19
NCT01500733,Leukemia,TP53 Cohort,PCI 32765,,,,,,,,,95.8,2024-09-19
NCT05216835,Recurrence,Cohort A1,Sabestomig (AZD7789),,,,1.0,,,,1.0,,2025-10-02
NCT05216835,Recurrence,Cohort A2,Sabestomig (AZD7789),,,,1.0,,,,1.0,,2025-10-02
NCT05216835,Recurrence,Cohort A3,Sabestomig (AZD7789),,,,1.0,,,,1.0,,2025-10-02
NCT05216835,Recurrence,Cohort A4,Sabestomig (AZD7789),,,,1.0,,,,1.0,,2025-10-02
NCT05216835,Recurrence,Cohort A5,Sabestomig (AZD7789),,1.4,,5.0,1.9,1.4,,5.0,,2025-10-02
NCT05216835,Recurrence,Cohort A6,Sabestomig (AZD7789),,,,12.0,4.8,2.4,11.9,12.0,,2025-10-02
NCT05216835,Recurrence,Cohort A7,Sabestomig (AZD7789),,,,12.0,5.7,1.8,,12.0,,2025-10-02
NCT05216835,Recurrence,Cohort A8,Sabestomig (AZD7789),,8.4,,12.0,2.1,1.6,8.1,12.0,,2025-10-02
NCT05424380,"Leukemia, Myeloid, Acute",Part 1: GSK3745417 100 ug,GSK3745417,,,,,,,,,,2025-03-25
NCT05424380,"Leukemia, Myeloid, Acute",Part 1: GSK3745417 12.5 ug,GSK3745417,,,,,,,,,,2025-03-25
NCT05424380,"Leukemia, Myeloid, Acute",Part 1: GSK3745417 200 ug,GSK3745417,,,,,,,,,,2025-03-25
NCT05424380,"Leukemia, Myeloid, Acute",Part 1: GSK3745417 25 ug,GSK3745417,,,,,,,,,,2025-03-25
NCT05424380,"Leukemia, Myeloid, Acute",Part 1: GSK3745417 300 ug,GSK3745417,,,,,,,,,,2025-03-25
NCT05424380,"Leukemia, Myeloid, Acute",Part 1: GSK3745417 50 ug,GSK3745417,,,,,,,,,,2025-03-25
NCT02200042,Cholangiocarcinoma,Observation,Image Guided Radiation Therapy,,,,,,,,,,2019-08-28
NCT02200042,Cholangiocarcinoma,Radiation Therapy,Image Guided Radiation Therapy,,,,,,,,,,2019-08-28
NCT00372905,Lymphoma,Cohort 1+ Cohort 2+ Cohort 3,"rituximab, bortezomib, Ibritumomab tiuxetan",,,,,,,,,89.0,2019-09-04
NCT00379769,"Diabetes Mellitus, Type 2",Combined MET/SU: Observational Follow-up,"Rosiglitazone, Sulfonylurea, Metformin",,,,,,,,,,2017-03-23
NCT00379769,"Diabetes Mellitus, Type 2",Combined RSG: Observational Follow-up,"Rosiglitazone, Sulfonylurea, Metformin",,,,,,,,,,2017-03-23
NCT00379769,"Diabetes Mellitus, Type 2",MET in Addition to Background SU,"Rosiglitazone, Sulfonylurea, Metformin",,,,,,,,,,2017-03-23
NCT00379769,"Diabetes Mellitus, Type 2",RSG in Addition to Background MET,"Rosiglitazone, Sulfonylurea, Metformin",,,,,,,,,,2017-03-23
NCT00379769,"Diabetes Mellitus, Type 2",RSG in Addition to Background SU,"Rosiglitazone, Sulfonylurea, Metformin",,,,,,,,,,2017-03-23
NCT00379769,"Diabetes Mellitus, Type 2",SU in Addition to Background MET,"Rosiglitazone, Sulfonylurea, Metformin",,,,,,,,,,2017-03-23
NCT02465515,Diabetes Mellitus,Albiglutide,"Albiglutide 30 mg, Albiglutide 50 mg, Albiglutide matching placebo",,,,,,,,,,2019-03-06
NCT02465515,Diabetes Mellitus,Placebo,"Albiglutide 30 mg, Albiglutide 50 mg, Albiglutide matching placebo",,,,,,,,,,2019-03-06
